LCSC Part,First Category,Second Category,MFR.Part,Package,Solder Joint,Manufacturer,Library Type,Description,Datasheet,Price,Stock
C6961,Amplifiers,FET InputAmplifiers,TL072CDT,SOIC-8_3.9x4.9x1.27P,8,STMicroelectronics,Basic,"2.5mA 16 V/us 2 4MHz J-FET 6V ~ 36V, 亇3V ~ 18V SOIC-8_150mil  FET InputAmplifiers ROHS",https://datasheet.lcsc.com/lcsc/1809051915_STMicroelectronics-TL072CDT--_C6961.pdf,"1-9:0.222153846,10-29:0.186615385,30-99:0.171384615,100-499:0.156215385,500-999:0.146000000,1000-1999:0.140000000,2000-3999:0.138461538,4000-:0.137384615",117183
C7377,Amplifiers,Operational Amplifier,MCP6002T-I/SN,SOIC-8_3.9x4.9x1.27P,8,Microchip Tech,Basic,0.6 V/us 2 1MHz 1.8V ~ 6V 100兪A General Purpose SOIC-8_150mil  Operational Amplifier ROHS,https://datasheet.lcsc.com/lcsc/1811081213_Microchip-Tech-MCP6002T-I-SN--_C7377.pdf,"1-9:0.290769231,10-29:0.236923077,30-99:0.210769231,100-499:0.190769231,500-999:0.183076923,4000-:0.175384615,2000-3999:0.175384615,1000-1999:0.178461538",42431
C7426,Amplifiers,Operational Amplifier,NE5532DR,SOIC-8_3.9x4.9x1.27P,8,Texas Instruments,Basic,9 V/us 2 10MHz 亇5V ~ 15V 8mA General Purpose SOIC-8_150mil  Operational Amplifier ROHS,http://www.ti.com/cn/lit/gpn/ne5532,"1-9:0.286307692,10-29:0.233384615,30-99:0.210769231,100-499:0.188000000,500-999:0.172923077,1000-:0.163892308",54777
C7433,Amplifiers,Precision OpAmps,OP07CDR,SOIC-8_3.9x4.9x1.27P,8,Texas Instruments,Basic,600kHz 1 亇3V ~ 18V 0.3 V/us General Purpose SOIC-8_150mil  Precision OpAmps ROHS,http://www.ti.com/cn/lit/gpn/op07c,"1-9:0.304615385,10-29:0.244615385,30-99:0.215384615,100-499:0.193846154,500-999:0.184615385,1000-:0.180000000",24154
C7950,Amplifiers,Operational Amplifier,LM358DR2G,SOIC-8_3.9x4.9x1.27P,8,onsemi,Basic,"0.6 V/us 2 1MHz 3V ~ 32V, 亇1.5V ~ 16V 1.5mA General Purpose SOIC-8_150mil  Operational Amplifier ROHS",https://datasheet.lcsc.com/lcsc/1811100911_onsemi-LM358DR2G-_C7950.pdf,"1-9:0.118307692,10-29:0.096461538,30-99:0.085846154,500-999:0.074615385,100-499:0.077846154,1000-:0.072769231",589041
C7955,Amplifiers,Comparators,LM393DR2G,SOIC-8_3.9x4.9x1.27P,8,onsemi,Basic,"2V~36V,亇1V~18V CMOS, DTL, ECL, MOS, Open-Collector, TTL 2.5mA 2 SOIC-8_150mil  Comparators ROHS",https://datasheet.lcsc.com/lcsc/1809171611_onsemi-LM393DR2G_C7955.pdf,"1-9:0.126307692,10-29:0.103692308,30-99:0.094000000,100-499:0.084307692,500-999:0.077846154,2000-3999:0.072923077,4000-:0.072307692,1000-1999:0.073846154",25578
C7972,Amplifiers,Operational Amplifier,LMV321IDBVR,SOT-23-5,5,Texas Instruments,Basic,"1 V/us 1 1MHz 2.7V ~ 5.5V, 亇1.35V ~ 2.75V 130兪A General Purpose SOT-23-5  Operational Amplifier ROHS",http://www.ti.com/cn/lit/gpn/lmv321,"10-90:0.180307692,100-290:0.126461538,300-990:0.115692308,1000-4990:0.104000000,5000-9990:0.097692308,10000-:0.095076923",51468
C18229,Amplifiers,Operational Amplifier,LM2904DR2G,SOIC-8_3.9x4.9x1.27P,8,onsemi,Basic,"0.6 V/us 2 1MHz 3V ~ 32V, 亇1.5V ~ 16V 1.5mA General Purpose SOIC-8_150mil  Operational Amplifier ROHS",https://datasheet.lcsc.com/lcsc/1811012110_onsemi-LM2904DR2G_C18229.pdf,"1-9:0.164046154,10-29:0.134769231,30-99:0.122153846,100-499:0.109692308,500-999:0.101230769,1000-1999:0.096307692,2000-3999:0.094923077,4000-:0.094153846",15542
C71035,Amplifiers,Operational Amplifier,LM324DT,SOIC-14_3.9x8.7x1.27P,14,STMicroelectronics,Basic,"0.4 V/us 4 1.3MHz 3V ~ 32V, 亇1.5V ~ 16V 1.5mA General Purpose SOIC-14_150mil  Operational Amplifier ROHS",https://datasheet.lcsc.com/lcsc/1809051220_STMicroelectronics-LM324DT_C71035.pdf,"1-9:0.130000000,10-29:0.104769231,30-99:0.092461538,100-499:0.083076923,500-999:0.079538462,1000-1999:0.077384615,2000-3999:0.076615385,4000-:0.076000000",91080
C1523,Capacitors,Multilayer Ceramic Capacitors MLCC - SMD/SMT,0402B102K500NT,402,2,FH(Guangdong Fenghua Advanced Tech),Basic,50V 1nF X7R 亇10% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,https://datasheet.lcsc.com/lcsc/1809291524_FH-Guangdong-Fenghua-Advanced-Tech-0402B102K500NT_C1523.pdf,"20-180:0.000935385,200-580:0.000763077,600-1980:0.000636923,2000-9980:0.000533846,10000-19980:0.000516923,20000-:0.000507692",216510
C1525,Capacitors,Multilayer Ceramic Capacitors MLCC - SMD/SMT,CL05B104KO5NNNC,402,2,Samsung Electro-Mechanics,Basic,16V 100nF X7R 亇10% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,https://datasheet.lcsc.com/lcsc/1810191219_Samsung-Electro-Mechanics-CL05B104KO5NNNC_C1525.pdf,"20-180:0.000930769,200-580:0.000710769,600-1980:0.000603077,2000-9980:0.000543077,10000-19980:0.000493846,20000-:0.000475385",33826120
C1527,Capacitors,Multilayer Ceramic Capacitors MLCC - SMD/SMT,0402B151K500NT,402,2,FH(Guangdong Fenghua Advanced Tech),Basic,50V 150pF X7R 亇10% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,https://datasheet.lcsc.com/lcsc/1810302110_FH-Guangdong-Fenghua-Advanced-Tech-0402B151K500NT_C1527.pdf,"200-580:0.000886154,2000-9980:0.000615385,20000-:0.000584615,10000-19980:0.000595385,20-180:0.001090769,600-1980:0.000738462",59740
C1530,Capacitors,Multilayer Ceramic Capacitors MLCC - SMD/SMT,0402B221K500NT,402,2,FH(Guangdong Fenghua Advanced Tech),Basic,50V 220pF X7R 亇10% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,https://datasheet.lcsc.com/lcsc/1811151132_FH-Guangdong-Fenghua-Advanced-Tech-0402B221K500NT_C1530.pdf,"10000-19980:0.000516923,20-180:0.000936923,200-580:0.000763077,2000-9980:0.000533846,20000-:0.000507692,600-1980:0.000638462",672114
